team_abbreviation,conference,division,team_id,lat,lon
ATL,East,Southeast,1610612737,33.7488889,-84.3880556
BOS,East,Atlantic,1610612738,40.65,-73.95
CLE,East,Central,1610612739,41.4994444,-81.6955556
NO,West,Southwest,1610612740,29.9544444,-90.075
CHI,East,Central,1610612741,41.85,-87.65
DAL,West,Southwest,1610612742,32.7833333,-96.8
DEN,West,Northwest,1610612743,39.7391667,-104.9841667
GS,West,Pacific,1610612744,37.8044444,-122.2697222
HOU,West,Southwest,1610612745,29.7630556,-95.3630556
LAC,West,Pacific,1610612746,34.0522222,-118.2427778
LAL,West,Pacific,1610612747,34.0522222,-118.2427778
MIA,East,Southeast,1610612748,25.7738889,-80.1938889
MIL,East,Central,1610612749,43.0388889,-87.9063889
MIN,West,Northwest,1610612750,44.98,-93.2636111
BKN,East,Atlantic,1610612751,42.3583333,-71.0602778
NY,East,Atlantic,1610612752,40.7141667,-74.0063889
ORL,East,Southeast,1610612753,28.5380556,-81.3794444
IND,East,Central,1610612754,39.7683333,-86.1580556
PHI,East,Atlantic,1610612755,39.9522222,-75.1641667
PHX,West,Pacific,1610612756,33.4483333,-112.0733333
POR,West,Northwest,1610612757,45.5236111,-122.675
SAC,West,Pacific,1610612758,29.4238889,-98.4933333
SA,West,Southwest,1610612759,38.5816667,-121.4933333
OKC,West,Northwest,1610612760,35.4675,-97.5161111
TOR,East,Atlantic,1610612761,43.666667,-79.416667
UTAH,West,Northwest,1610612762,40.7608333,-111.8902778
MEM,West,Southwest,1610612763,35.1494444,-90.0488889
WSH,East,Southeast,1610612764,38.895,-77.0366667
DET,East,Central,1610612765,42.3313889,-83.0458333
CHA,East,Southeast,1610612766,35.2269444,-80.8433333